Time,Dynamic,LUT as Logic,Signals,LUT as Logic + Signals
4870000.0,13814.672,2160.4,2721.9,4882.3
4880000.0,22774.094,4564.965,6423.85,10988.815
4890000.0,21935.406,3917.275,5840.05,9757.325
4900000.0,23332.016,4603.065,6502.1,11105.165
4910000.0,19969.766,3026.92,4750.3,7777.22
4920000.0,24323.766,5096.24,7068.35,12164.59
4930000.0,19333.266,2897.685,4271.0,7168.6849999999995
4940000.0,24200.266,5051.36,7022.55,12073.91
4950000.0,20766.359,4937.635,6972.85,11910.485
4960000.0,7366.547,846.59,1203.25,2049.84
4970000.0,8306.672,785.69,899.2,1684.89
4980000.0,10531.234,695.18,906.3,1601.48
4990000.0,14352.297,2057.305,2534.25,4591.555
5000000.0,17641.453,3241.515,4420.2,7661.715
5010000.0,16910.594,3041.995,4100.8,7142.795
5020000.0,17330.375,3099.465,4248.95,7348.415
5030000.0,14754.625,2156.375,2828.15,4984.525
5040000.0,19629.484,4160.305,5487.2,9647.505000000001
5050000.0,14621.406,2159.27,2694.25,4853.52
5060000.0,15228.859,4084.5,4975.85,9060.35
5070000.0,7230.203,1039.18,1081.25,2120.4300000000003
5080000.0,7407.562,498.25,476.05,974.3
5090000.0,10764.078,1613.505,2105.0,3718.505
5100000.0,16006.25,3787.24,5129.6,8916.84
5110000.0,11977.766,2025.415,2808.5,4833.915
5120000.0,15651.906,3520.655,4847.5,8368.155
5130000.0,14771.922,3151.95,4345.1,7497.05
5140000.0,13505.062,2725.235,3557.1,6282.335
5150000.0,13797.125,2365.205,3253.6,5618.805
5160000.0,18214.375,3848.05,4898.9,8746.95
5170000.0,22623.703,5423.31,7405.8,12829.11
5180000.0,22529.594,5282.875,7412.3,12695.175
5190000.0,18737.75,3772.595,5288.65,9061.244999999999
5200000.0,19759.422,4275.88,5676.7,9952.58
5210000.0,21859.031,4908.475,7222.8,12131.275000000001
5220000.0,17149.766,3214.375,4121.4,7335.775
5230000.0,12784.859,1887.665,2679.15,4566.8150000000005
5240000.0,13901.438,2804.335,3713.8,6518.135
5250000.0,13560.609,3503.675,4585.4,8089.075
5260000.0,6605.656,695.615,865.2,1560.815
5270000.0,8793.156,480.465,550.65,1031.115
5280000.0,17071.406,3466.6,4530.35,7996.950000000001
5290000.0,23717.062,5058.945,6863.95,11922.895
5300000.0,22787.531,4380.865,6254.45,10635.314999999999
5310000.0,25030.547,5467.86,7390.15,12858.009999999998
5320000.0,21504.469,3784.46,5536.6,9321.060000000001
5330000.0,20010.5,3208.215,4573.35,7781.5650000000005
